177,18,36,1,0,0
161,6,33,1,0,0
163,7,34,1,0,0
176,12,19,1,0,0
173,8,24,1,0,0
171,3,19,1,0,0
164,12,33,1,0,0
169,4,19,1,0,0
173,8,19,1,0,0
177,13,20,1,0,0
163,0,22,1,0,0
172,2,34,1,0,0
161,8,25,1,0,0
169,15,21,1,0,0
162,8,24,1,0,0
159,5,32,1,0,0
165,8,23,1,0,0
175,12,27,1,0,0
162,4,33,1,0,0
167,7,21,1,0,0
176,12,34,1,0,0
242,111,34,1,1,1
226,97,21,1,1,1
240,107,18,1,1,1
238,98,21,1,1,1
227,94,33,1,1,1
227,107,26,1,1,1
227,98,26,1,1,1
236,93,34,1,1,1
229,105,33,1,1,1
234,104,21,1,1,1
242,106,22,1,1,1
224,109,20,1,1,1
235,97,32,1,1,1
232,98,28,1,1,1
229,101,30,1,1,1
234,109,27,1,1,1
229,97,17,1,1,1
238,97,18,1,1,1
242,95,33,1,1,1
233,110,23,1,1,1
228,99,23,1,1,1
255,242,0,1,1,0
243,235,16,1,1,0
244,237,14,1,1,0
239,232,18,1,1,0
241,231,13,1,1,0
251,227,11,1,1,0
252,229,7,1,1,0
245,225,10,1,1,0
239,242,7,1,1,0
246,239,18,1,1,0
250,230,18,1,1,0
239,226,5,1,1,0
249,230,1,1,1,0
243,227,10,1,1,0
255,241,7,1,1,0
240,234,2,1,1,0
241,234,15,1,1,0
252,229,13,1,1,0
247,235,8,1,1,0
247,234,8,1,1,0
244,234,12,1,1,0
49,172,85,0,1,0
43,167,78,0,1,0
40,157,68,0,1,0
32,166,82,0,1,0
32,160,72,0,1,0
39,162,70,0,1,0
40,171,71,0,1,0
38,158,83,0,1,0
42,170,80,0,1,0
40,160,80,0,1,0
33,160,82,0,1,0
43,171,71,0,1,0
48,161,71,0,1,0
35,163,77,0,1,0
32,167,76,0,1,0
36,161,78,0,1,0
35,154,76,0,1,0
44,160,84,0,1,0
45,171,78,0,1,0
41,166,72,0,1,0
31,157,72,0,1,0
47,159,215,0,0,1
31,157,200,0,0,1
31,142,202,0,0,1
35,149,201,0,0,1
39,148,199,0,0,1
30,144,201,0,0,1
46,151,199,0,0,1
30,157,200,0,0,1
30,150,200,0,0,1
36,147,213,0,0,1
32,153,212,0,0,1
39,150,209,0,0,1
29,158,203,0,0,1
42,146,203,0,0,1
36,142,206,0,0,1
32,146,204,0,0,1
39,142,199,0,0,1
40,141,214,0,0,1
39,153,208,0,0,1
31,146,214,0,0,1
46,145,215,0,0,1
96,58,52,0,0,0
91,52,36,0,0,0
83,56,51,0,0,0
89,53,49,0,0,0
93,40,42,0,0,0
81,41,43,0,0,0
94,56,42,0,0,0
89,48,39,0,0,0
83,57,42,0,0,0
89,51,37,0,0,0
91,43,39,0,0,0
81,47,38,0,0,0
87,52,48,0,0,0
92,44,45,0,0,0
87,46,51,0,0,0
95,50,35,0,0,0
90,48,41,0,0,0
89,54,50,0,0,0
85,49,45,0,0,0
85,57,39,0,0,0
89,45,46,0,0,0
