255,0,0,1,0,0,0
218,73,90,1,0,0,0
238,92,51,1,0,0,0
234,92,43,1,0,0,0
238,74,47,1,0,0,0
164,58,12,1,0,0,0
185,36,27,1,0,0,0
182,18,96,1,0,0,0
253,35,27,1,0,0,0
231,1,48,1,0,0,0
178,38,13,1,0,0,0
207,99,43,1,0,0,0
208,19,89,1,0,0,0
218,68,80,1,0,0,0
247,21,61,1,0,0,0
212,54,100,1,0,0,0
231,95,64,1,0,0,0
251,29,19,1,0,0,0
242,68,71,1,0,0,0
192,87,89,1,0,0,0
195,46,57,1,0,0,0
0,153,0,0,1,0,0
29,185,82,0,1,0,0
67,132,10,0,1,0,0
48,180,41,0,1,0,0
64,103,19,0,1,0,0
23,106,57,0,1,0,0
15,132,10,0,1,0,0
8,125,59,0,1,0,0
16,184,12,0,1,0,0
31,119,10,0,1,0,0
31,132,39,0,1,0,0
81,143,47,0,1,0,0
19,172,80,0,1,0,0
26,170,26,0,1,0,0
70,181,73,0,1,0,0
8,138,65,0,1,0,0
83,107,16,0,1,0,0
48,201,5,0,1,0,0
42,183,86,0,1,0,0
5,164,28,0,1,0,0
1,180,7,0,1,0,0
255,255,0,0,0,1,0
182,240,39,0,0,1,0
245,229,66,0,0,1,0
242,233,21,0,0,1,0
210,215,90,0,0,1,0
156,245,34,0,0,1,0
160,201,99,0,0,1,0
222,225,97,0,0,1,0
215,236,51,0,0,1,0
254,221,9,0,0,1,0
220,224,91,0,0,1,0
235,173,2,0,0,1,0
225,199,34,0,0,1,0
237,197,74,0,0,1,0
219,175,25,0,0,1,0
252,246,94,0,0,1,0
192,238,46,0,0,1,0
184,165,89,0,0,1,0
203,242,44,0,0,1,0
228,213,30,0,0,1,0
157,160,99,0,0,1,0
0,128,255,0,0,0,1
16,135,191,0,0,0,1
64,118,226,0,0,0,1
63,173,236,0,0,0,1
3,89,167,0,0,0,1
53,118,207,0,0,0,1
45,82,195,0,0,0,1
15,157,196,0,0,0,1
69,166,185,0,0,0,1
66,135,242,0,0,0,1
49,150,155,0,0,0,1
63,164,226,0,0,0,1
0,78,158,0,0,0,1
60,177,235,0,0,0,1
36,121,159,0,0,0,1
84,120,175,0,0,0,1
48,170,200,0,0,0,1
53,84,236,0,0,0,1
98,81,161,0,0,0,1
9,173,178,0,0,0,1
2,97,211,0,0,0,1
